Symbol,Mention,Mention Datetime
AAG.V,2,2021-01-31 21:51:46.518659
ACST.V,1,2021-01-31 21:51:46.518659
ADCO.V,1,2021-01-31 21:51:46.518659
AHC.TO,1,2021-01-31 21:51:46.518659
AMCX,1,2021-01-31 21:51:46.518659
AOE-H.V,1,2021-01-31 21:51:46.518659
ATE.TO,1,2021-01-31 21:51:46.518659
AUGB-F.TO,1,2021-01-31 21:51:46.518659
BB.TO,2,2021-01-31 21:51:46.518659
BGZ-H.V,1,2021-01-31 21:51:46.518659
BLNK,1,2021-01-31 21:51:46.518659
BNAU.TO,2,2021-01-31 21:51:46.518659
CD.V,1,2021-01-31 21:51:46.518659
CNS,1,2021-01-31 21:51:46.518659
EXC,2,2021-01-31 21:51:46.518659
HQD.TO,1,2021-01-31 21:51:46.518659
NOK,1,2021-01-31 21:51:46.518659
NTS.V,2,2021-01-31 21:51:46.518659
NYT,1,2021-01-31 21:51:46.518659
PLZ-UN.TO,1,2021-01-31 21:51:46.518659
SBE,1,2021-01-31 21:51:46.518659
TPR,1,2021-01-31 21:51:46.518659
TSLA,1,2021-01-31 21:51:46.518659
AAG.V,2,2021-01-31 21:51:53.892239
ACST.V,1,2021-01-31 21:51:53.892239
ADCO.V,1,2021-01-31 21:51:53.892239
AHC.TO,1,2021-01-31 21:51:53.892239
AMCX,1,2021-01-31 21:51:53.892239
AOE-H.V,1,2021-01-31 21:51:53.892239
ATE.TO,1,2021-01-31 21:51:53.892239
AUGB-F.TO,1,2021-01-31 21:51:53.892239
BB.TO,2,2021-01-31 21:51:53.892239
BGZ-H.V,1,2021-01-31 21:51:53.892239
BLNK,1,2021-01-31 21:51:53.892239
BNAU.TO,2,2021-01-31 21:51:53.892239
CD.V,1,2021-01-31 21:51:53.892239
CNS,1,2021-01-31 21:51:53.892239
EXC,2,2021-01-31 21:51:53.892239
HQD.TO,1,2021-01-31 21:51:53.892239
NOK,1,2021-01-31 21:51:53.892239
NTS.V,2,2021-01-31 21:51:53.892239
NYT,1,2021-01-31 21:51:53.892239
PLZ-UN.TO,1,2021-01-31 21:51:53.892239
SBE,1,2021-01-31 21:51:53.892239
TPR,1,2021-01-31 21:51:53.892239
TSLA,1,2021-01-31 21:51:53.892239
APR-UN.TO,1,2021-01-31 22:05:24.044063
BBTV.TO,1,2021-01-31 22:05:24.044063
DDM,1,2021-01-31 22:05:24.044063
DOX,1,2021-01-31 22:05:24.044063
FBT,1,2021-01-31 22:05:24.044063
FOUR.TO,1,2021-01-31 22:05:24.044063
FUD-A.TO,1,2021-01-31 22:05:24.044063
GME,1,2021-01-31 22:05:24.044063
NOK,1,2021-01-31 22:05:24.044063
NTS.V,1,2021-01-31 22:05:24.044063
NYT,1,2021-01-31 22:05:24.044063
OXY,1,2021-01-31 22:05:24.044063
QCH.NE,2,2021-01-31 22:05:24.044063
RET-A.V,1,2021-01-31 22:05:24.044063
STAY,1,2021-01-31 22:05:24.044063
TTOO,1,2021-01-31 22:05:24.044063
WDFC,1,2021-01-31 22:05:24.044063
APR-UN.TO,1,2021-01-31 22:14:08.153292
BBTV.TO,1,2021-01-31 22:14:08.153292
DDM,1,2021-01-31 22:14:08.153292
DOX,1,2021-01-31 22:14:08.153292
FBT,1,2021-01-31 22:14:08.153292
